Fri Jan 10 15:49:34 2014    profiling/game.run.profile

         8844407 function calls (8839797 primitive calls) in 26.332 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.067    0.007 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:362(gcf)
        1    0.000    0.000    0.067    0.067 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:246(figure)
        1    0.000    0.000    0.067    0.067 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:73(new_figure_manager)
     1513    0.039    0.000    0.058    0.000 {sorted}
    18985    0.033    0.000    0.056    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:307(add)
     9083    0.009    0.000    0.055    0.000 code/colors.py:14(getRandHotColor)
     1066    0.003    0.000    0.052    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:150(set_marker)
        1    0.002    0.002    0.051    0.051 /usr/lib/pymodules/python2.7/matplotlib/axis.py:3(<module>)
    30472    0.049    0.000    0.049    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.048    0.024 /usr/lib/python2.7/dist-packages/PIL/Image.py:1394(save)
      614    0.001    0.000    0.045    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:110(__init__)
        1    0.001    0.001    0.045    0.045 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:99(<module>)
     2501    0.021    0.000    0.042    0.000 /usr/lib/pymodules/python2.7/matplotlib/path.py:86(__init__)
     1066    0.001    0.000    0.042    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:135(set_fillstyle)
        1    0.000    0.000    0.038    0.038 /usr/lib/python2.7/lib-tk/Tkinter.py:1692(__init__)
        1    0.037    0.037    0.037    0.037 {_tkinter.create}
     5878    0.037    0.000    0.037    0.000 {numpy.core.multiarray.array}
    15587    0.022    0.000    0.036    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:165(kill)
     4898    0.004    0.000    0.035    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:301(__iter__)
  624/472    0.002    0.000    0.035    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:372(get_spine_transform)
     1079    0.004    0.000    0.034    0.000 code/physicalObject.py:159(updateImageAngle)
  648/472    0.000    0.000    0.033    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:136(_ensure_position_is_set)
       24    0.000    0.000    0.033    0.001 /usr/lib/pymodules/python2.7/matplotlib/spines.py:325(set_position)
       30    0.000    0.000    0.032    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:224(draw)
    84/76    0.001    0.000    0.030    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:509(_get_tick1line)
    84/76    0.001    0.000    0.030    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:525(_get_tick2line)
      173    0.000    0.000    0.029    0.000 /usr/lib/python2.7/re.py:226(_compile)
       56    0.000    0.000    0.029    0.001 /usr/lib/python2.7/re.py:188(compile)
     3011    0.029    0.000    0.029    0.000 {built-in method now}
       57    0.000    0.000    0.029    0.001 /usr/lib/python2.7/sre_compile.py:495(compile)
     1540    0.006    0.000    0.029    0.000 code/ship.py:389(goTo)
        1    0.028    0.028    0.028    0.028 /usr/lib/pymodules/python2.7/matplotlib/quiver.py:15(<module>)
     2321    0.003    0.000    0.028    0.000 code/ship.py:493(draw)
     2736    0.004    0.000    0.028    0.000 code/physicalObject.py:409(drawAt)
      884    0.003    0.000    0.027    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1615(scale)
       50    0.027    0.001    0.027    0.001 {built-in method call}
        2    0.000    0.000    0.027    0.013 /usr/lib/pymodules/python2.7/matplotlib/axes.py:498(_init_axis)
      452    0.000    0.000    0.026    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:748(set_marker)
     1547    0.002    0.000    0.026    0.000 code/ship.py:309(shoot)
        2    0.000    0.000    0.026    0.013 /usr/lib/python2.7/dist-packages/PIL/JpegImagePlugin.py:420(_save)
        2    0.000    0.000    0.026    0.013 /usr/lib/python2.7/dist-packages/PIL/ImageFile.py:466(_save)
        2    0.026    0.013    0.026    0.013 {built-in method encode_to_file}
    66/58    0.000    0.000    0.026    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:374(_get_tick1line)
       62    0.002    0.000    0.025    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:463(draw)
     1504    0.007    0.000    0.024    0.000 code/player.py:178(playerUpdate)
        1    0.000    0.000    0.024    0.024 /usr/lib/pymodules/python2.7/matplotlib/rcsetup.py:14(<module>)
    66/58    0.000    0.000    0.024    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:389(_get_tick2line)
      452    0.000    0.000    0.024    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:305(set_fillstyle)
     9106    0.017    0.000    0.023    0.000 code/physicalObject.py:284(getAngleToTarget)
        4    0.000    0.000    0.022    0.006 /usr/lib/pymodules/python2.7/matplotlib/axis.py:982(_get_tick_bboxes)
       30    0.000    0.000    0.022    0.001 /usr/lib/pymodules/python2.7/matplotlib/text.py:713(get_window_extent)
       64    0.003    0.000    0.022    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:264(_get_layout)
    18785    0.022    0.000    0.022    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:112(__init__)
        1    0.001    0.001    0.021    0.021 /usr/lib/pymodules/python2.7/matplotlib/fontconfig_pattern.py:7(<module>)
       84    0.001    0.000    0.021    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:540(_get_gridline)
       54    0.000    0.000    0.021    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1153(_copy_tick_props)
        2    0.000    0.000    0.021    0.010 code/hudHelpers.py:77(populateSpace)
   224403    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.020    0.020 /usr/lib/pymodules/python2.7/matplotlib/patches.py:3(<module>)
    70803    0.019    0.000    0.019    0.000 code/game.py:542(<lambda>)
      162    0.001    0.000    0.019    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:908(update_from)
        4    0.019    0.005    0.019    0.005 {open}
     1504    0.003    0.000    0.019    0.000 code/player.py:167(update)
        1    0.001    0.001    0.018    0.018 /usr/lib/pymodules/python2.7/matplotlib/pyparsing.py:59(<module>)
     2317    0.011    0.000    0.018    0.000 code/objInstances.py:518(draw)
  768/340    0.001    0.000    0.018    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:642(get_yaxis_transform)
  606/250    0.001    0.000    0.018    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:565(get_xaxis_transform)
        1    0.000    0.000    0.017    0.017 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:178(__init__)
      258    0.007    0.000    0.017    0.000 code/ship.py:336(clearLineOfSight)
        6    0.001    0.000    0.017    0.003 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1532(_pprint_styles)
     4294    0.003    0.000    0.017    0.000 /usr/lib/pymodules/python2.7/numpy/core/numeric.py:167(asarray)
        1    0.000    0.000    0.016    0.016 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1626(BoxStyle)
        8    0.000    0.000    0.016    0.002 /usr/lib/pymodules/python2.7/matplotlib/spines.py:142(register_axis)
       66    0.000    0.000    0.016    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:405(_get_gridline)
     3538    0.007    0.000    0.016    0.000 code/physicalObject.py:307(turnTowards)
     1079    0.016    0.000    0.016    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
        1    0.000    0.000    0.016    0.016 /usr/lib/python2.7/inspect.py:25(<module>)
        1    0.000    0.000    0.016    0.016 /usr/lib/python2.7/lib-tk/Tkinter.py:2223(create_image)
        1    0.000    0.000    0.016    0.016 /usr/lib/python2.7/lib-tk/Tkinter.py:2206(_create)
       40    0.001    0.000    0.015    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:514(draw)
