Fri Jan 10 15:43:55 2014    profiling/game.run.profile

         8189053 function calls (8184595 primitive calls) in 25.530 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18981    0.041    0.000    0.064    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:307(add)
        4    0.000    0.000    0.061    0.015 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1034(draw)
     1513    0.039    0.000    0.059    0.000 {sorted}
     9083    0.010    0.000    0.057    0.000 code/colors.py:14(getRandHotColor)
       12    0.000    0.000    0.056    0.005 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1188(get_major_ticks)
    30424    0.053    0.000    0.053    0.000 {method 'keys' of 'dict' objects}
     1547    0.002    0.000    0.052    0.000 code/ship.py:309(shoot)
        1    0.002    0.002    0.050    0.050 /usr/lib/pymodules/python2.7/matplotlib/axis.py:3(<module>)
      994    0.003    0.000    0.049    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:150(set_marker)
        1    0.001    0.001    0.047    0.047 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:99(<module>)
      270    0.019    0.000    0.042    0.000 code/ship.py:336(clearLineOfSight)
      566    0.001    0.000    0.042    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:110(__init__)
     2325    0.020    0.000    0.040    0.000 /usr/lib/pymodules/python2.7/matplotlib/path.py:86(__init__)
      994    0.001    0.000    0.039    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:135(set_fillstyle)
     4910    0.004    0.000    0.039    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:301(__iter__)
        1    0.000    0.000    0.039    0.039 /usr/lib/python2.7/lib-tk/Tkinter.py:1692(__init__)
        1    0.038    0.038    0.038    0.038 {_tkinter.create}
    15607    0.022    0.000    0.036    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:165(kill)
  592/440    0.001    0.000    0.034    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:372(get_spine_transform)
     1078    0.004    0.000    0.034    0.000 code/physicalObject.py:159(updateImageAngle)
     3011    0.034    0.000    0.034    0.000 {built-in method now}
     5474    0.033    0.000    0.033    0.000 {numpy.core.multiarray.array}
  616/440    0.000    0.000    0.033    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:136(_ensure_position_is_set)
       24    0.000    0.000    0.033    0.001 /usr/lib/pymodules/python2.7/matplotlib/spines.py:325(set_position)
     3827    0.006    0.000    0.032    0.000 code/physicalObject.py:409(drawAt)
        2    0.000    0.000    0.031    0.016 /usr/lib/python2.7/dist-packages/PIL/Image.py:1394(save)
      173    0.000    0.000    0.031    0.000 /usr/lib/python2.7/re.py:226(_compile)
       56    0.000    0.000    0.030    0.001 /usr/lib/python2.7/re.py:188(compile)
       57    0.000    0.000    0.030    0.001 /usr/lib/python2.7/sre_compile.py:495(compile)
        1    0.028    0.028    0.029    0.029 /usr/lib/pymodules/python2.7/matplotlib/axes.py:336(Axes)
     1540    0.006    0.000    0.029    0.000 code/ship.py:389(goTo)
       26    0.000    0.000    0.028    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:224(draw)
    11075    0.020    0.000    0.028    0.000 code/physicalObject.py:284(getAngleToTarget)
    76/68    0.000    0.000    0.028    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:525(_get_tick2line)
     2323    0.003    0.000    0.028    0.000 code/ship.py:493(draw)
    76/68    0.000    0.000    0.028    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:509(_get_tick1line)
       50    0.027    0.001    0.027    0.001 {built-in method call}
        2    0.000    0.000    0.026    0.013 /usr/lib/pymodules/python2.7/matplotlib/axes.py:498(_init_axis)
        2    0.000    0.000    0.026    0.013 /usr/lib/python2.7/dist-packages/PIL/JpegImagePlugin.py:420(_save)
        2    0.000    0.000    0.026    0.013 /usr/lib/python2.7/dist-packages/PIL/ImageFile.py:466(_save)
        2    0.026    0.013    0.026    0.013 {built-in method encode_to_file}
     1504    0.008    0.000    0.026    0.000 code/player.py:178(playerUpdate)
        1    0.001    0.001    0.025    0.025 /usr/lib/pymodules/python2.7/matplotlib/rcsetup.py:14(<module>)
      428    0.000    0.000    0.025    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:748(set_marker)
    66/58    0.000    0.000    0.025    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:374(_get_tick1line)
      812    0.002    0.000    0.024    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1615(scale)
    66/58    0.000    0.000    0.024    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:389(_get_tick2line)
        2    0.001    0.000    0.023    0.011 code/hudHelpers.py:77(populateSpace)
      428    0.000    0.000    0.022    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:305(set_fillstyle)
        1    0.001    0.001    0.022    0.022 /usr/lib/pymodules/python2.7/matplotlib/fontconfig_pattern.py:7(<module>)
       54    0.002    0.000    0.022    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:463(draw)
       56    0.002    0.000    0.020    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:264(_get_layout)
        4    0.000    0.000    0.020    0.005 /usr/lib/pymodules/python2.7/matplotlib/axis.py:982(_get_tick_bboxes)
       26    0.000    0.000    0.020    0.001 /usr/lib/pymodules/python2.7/matplotlib/text.py:713(get_window_extent)
        1    0.001    0.001    0.020    0.020 /usr/lib/pymodules/python2.7/matplotlib/patches.py:3(<module>)
    70877    0.020    0.000    0.020    0.000 code/game.py:542(<lambda>)
     1504    0.003    0.000    0.019    0.000 code/player.py:167(update)
        1    0.002    0.002    0.019    0.019 /usr/lib/pymodules/python2.7/matplotlib/pyparsing.py:59(<module>)
     2318    0.011    0.000    0.019    0.000 code/objInstances.py:518(draw)
       76    0.001    0.000    0.019    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:540(_get_gridline)
  696/300    0.001    0.000    0.018    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:642(get_yaxis_transform)
       46    0.000    0.000    0.018    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1153(_copy_tick_props)
        6    0.000    0.000    0.017    0.003 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1532(_pprint_styles)
