         44911 function calls (44479 primitive calls) in 4.225 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.001    0.000 sre_compile.py:178(_compile_charset)
      134    0.000    0.000    0.001    0.000 genericpath.py:38(isdir)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
      114    0.000    0.000    0.001    0.000 pkg_resources.py:1130(safe_name)
       34    0.000    0.000    0.001    0.000 pkg_resources.py:2640(_find_adapter)
   208/81    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
      2/1    0.000    0.000    0.001    0.001 pkg_resources.py:1800(declare_namespace)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
       34    0.001    0.000    0.001    0.000 pkg_resources.py:2633(_get_mro)
       38    0.000    0.000    0.001    0.000 sre_compile.py:207(_optimize_charset)
      723    0.000    0.000    0.001    0.000 pkg_resources.py:1868(_normalize_cached)
       58    0.000    0.000    0.001    0.000 pkg_resources.py:1194(has_metadata)
      530    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
       23    0.000    0.000    0.001    0.000 pkg_resources.py:1208(get_metadata_lines)
      667    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
       86    0.000    0.000    0.001    0.000 posixpath.py:350(abspath)
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
       23    0.000    0.000    0.001    0.000 pkg_resources.py:1198(get_metadata)
        1    0.000    0.000    0.001    0.001 util.py:5(<module>)
      337    0.001    0.000    0.001    0.000 {posix.lstat}
       22    0.000    0.000    0.001    0.000 pkg_resources.py:1688(find_distributions)
        1    0.000    0.000    0.001    0.001 arraysetops.py:25(<module>)
        1    0.001    0.001    0.001    0.001 sprite.py:66(<module>)
      399    0.000    0.000    0.001    0.000 pkg_resources.py:2156(key)
        1    0.000    0.000    0.001    0.001 collections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decorators.py:15(<module>)
       23    0.000    0.000    0.001    0.000 pkg_resources.py:1315(_get)
       56    0.000    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
     3004    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       86    0.000    0.000    0.000    0.000 posixpath.py:321(normpath)
       40    0.000    0.000    0.000    0.000 core.py:106(get_object_signature)
      558    0.000    0.000    0.000    0.000 string.py:158(convert)
       59    0.000    0.000    0.000    0.000 pkg_resources.py:1303(_has)
      109    0.000    0.000    0.000    0.000 pkg_resources.py:1138(safe_version)
      572    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
     1892    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      309    0.000    0.000    0.000    0.000 pkg_resources.py:2256(__getattr__)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       23    0.000    0.000    0.000    0.000 core.py:5915(__init__)
       23    0.000    0.000    0.000    0.000 core.py:5919(getdoc)
       59    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
     1517    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:33(<module>)
      485    0.000    0.000    0.000    0.000 urlparse.py:320(<genexpr>)
      114    0.000    0.000    0.000    0.000 posixpath.py:104(splitext)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 sndarray.py:57(<module>)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.000    0.000 numerictypes.py:300(_add_aliases)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
      654    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:4(<module>)
     2182    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       83    0.000    0.000    0.000    0.000 pkg_resources.py:1259(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
      114    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
      341    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
        1    0.000    0.000    0.000    0.000 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       78    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
       55    0.000    0.000    0.000    0.000 utils.py:113(__call__)
      115    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
2455/2376    0.000    0.000    0.000    0.000 {len}
       31    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
        1    0.000    0.000    0.000    0.000 utils.py:3(<module>)
       25    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
       24    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
       19    0.000    0.000    0.000    0.000 {imp.find_module}
      333    0.000    0.000    0.000    0.000 stat.py:55(S_ISLNK)
        5    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
      912    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
      326    0.000    0.000    0.000    0.000 {min}
        3    0.000    0.000    0.000    0.000 numeric.py:122(extend_all)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
       19    0.000    0.000    0.000    0.000 nosetester.py:138(__init__)
      141    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      290    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
